Game_name,Game_platform,Game_release_date,Game_developer,Game_distribution,Game_genre,Critic_score_0_100,Critic_num_reviews,User_score_0_10,User_num_reviews,Link
Mario Super Sluggers,Wii,2008-08-25,Namco Bandai Games,Nintendo,Baseball,69.0,31.0,8.1,84.0,/game/mario-super-sluggers/
Mario Superstar Baseball,GameCube,2005-08-29,Namco,Nintendo,Baseball,76.0,38.0,8.3,35.0,/game/mario-superstar-baseball/
Mario Tennis,Nintendo 64,2000-08-28,Camelot Software Planning,Nintendo,Tennis,91.0,16.0,8.6,166.0,/game/mario-tennis/
Mario Tennis Aces,Nintendo Switch,2018-06-22,Camelot Software Planning,Nintendo,Tennis,75.0,93.0,7.0,622.0,/game/mario-tennis-aces/
Mario Tennis Open,3DS,2012-05-20,Camelot Software Planning,Nintendo,Tennis,69.0,58.0,6.9,141.0,/game/mario-tennis-open/
Mario Tennis: Power Tour,Game Boy Advance,2005-12-05,Camelot Software Planning,Nintendo,Tennis,81.0,21.0,8.5,39.0,/game/mario-tennis-power-tour/
Mario Tennis: Ultra Smash,Wii U,2015-11-20,Camelot Software Planning,Nintendo,Tennis,58.0,58.0,5.1,197.0,/game/mario-tennis-ultra-smash/
Mario And Donkey Kong: Minis On The Move,3DS,2013-05-09,Nintendo,Nintendo,Action Puzzle,78.0,41.0,7.2,52.0,/game/mario-and-donkey-kong-minis-on-the-move/
Mario Vs. Donkey Kong,Nintendo Switch,2024-02-16,Nintendo Software Technology,Nintendo,2D Platformer,76.0,105.0,7.5,103.0,/game/mario-vs-donkey-kong-2024/
Mario Vs. Donkey Kong (2004),Game Boy Advance,2004-05-24,Nintendo Software Technology,Nintendo,2D Platformer,81.0,43.0,8.1,56.0,/game/mario-vs-donkey-kong-2004/
Mario Vs. Donkey Kong 2: March Of The Minis,DS,2006-09-25,Nintendo Software Technology,Nintendo,Action Puzzle,76.0,32.0,7.6,22.0,/game/mario-vs-donkey-kong-2-march-of-the-minis/
Mario Vs. Donkey Kong: Mini-Land Mayhem,DS,2010-11-14,Nintendo Software Technology,Nintendo,2D Platformer,79.0,51.0,7.9,31.0,/game/mario-vs-donkey-kong-mini-land-mayhem/
Mario Vs. Donkey Kong: Minis March Again!,DS,2009-06-08,Nintendo,Nintendo,2D Platformer,82.0,12.0,7.7,22.0,/game/mario-vs-donkey-kong-minis-march-again/
Mario Vs. Donkey Kong: Tipping Stars,Wii U,2015-03-05,Nintendo Software Technology,Nintendo,Action Puzzle,70.0,26.0,7.1,77.0,/game/mario-vs-donkey-kong/
Mark Mcmorris Infinite Air,PlayStation 4,2016-10-25,HB Studios Multimedia,Maximum Games,Skiing,50.0,16.0,7.3,61.0,/game/mark-mcmorris-infinite-air/
Mark Of The Ninja,Xbox 360,2012-09-07,Klei Entertainment,Microsoft Game Studios,2D Platformer,90.0,51.0,7.5,243.0,/game/mark-of-the-ninja/
Marlow Briggs And The Mask Of Death,Xbox 360,2013-09-20,ZootFly,505 Games,Linear Action Adventure,66.0,14.0,5.9,30.0,/game/marlow-briggs-and-the-mask-of-death/
Mars Matrix,Dreamcast,2001-04-30,Takumi Corporation,Capcom,Vertical Shoot-'Em-Up,78.0,15.0,7.5,6.0,/game/mars-matrix/
Mars: War Logs,Xbox 360,2013-04-26,Spiders,Focus Home Interactive,Action RPG,59.0,32.0,7.1,296.0,/game/mars-war-logs/
Marsupilami: Hoobadventure,Xbox One,2021-11-16,Ocellus Studio,Microids,2D Platformer,68.0,7.0,6.9,14.0,/game/marsupilami-hoobadventure/
Martha Stewart,3DS,,Majesco,Majesco,Miscellaneous,,,,,https://www.metacritic.com/game/martha-stewart
Martha Is Dead,PC,2022-02-24,LKA,Wired Productions,First-Person Adventure,73.0,32.0,7.1,82.0,/game/martha-is-dead/
Marvel Avengers: Battle For Earth,Wii U,2012-10-30,Ubisoft Quebec,Ubisoft,3D Fighting,62.0,11.0,7.1,14.0,/game/marvel-avengers-battle-for-earth/
Marvel Heroes,PC,2013-06-03,Gazillion,Gazillion,MMORPG,58.0,38.0,6.7,658.0,/game/marvel-heroes/
Marvel Nemesis: Rise Of The Imperfects,Xbox,2005-09-20,EA Canada,EA Games,3D Fighting,58.0,34.0,7.9,8.0,/game/marvel-nemesis-rise-of-the-imperfects/
Marvel Pinball,PlayStation 3,2010-12-14,Zen Studios,Zen Studios,Pinball,83.0,17.0,7.5,18.0,/game/marvel-pinball/
Marvel Super Hero Squad,DS,2009-10-20,Blue Tongue Entertainment,THQ,3D Beat-'Em-Up,49.0,16.0,5.2,9.0,/game/marvel-super-hero-squad/
Marvel Super Hero Squad: The Infinity Gauntlet,Xbox 360,2010-11-16,THQ,THQ,Action,55.0,10.0,7.0,9.0,/game/marvel-super-hero-squad-the-infinity-gauntlet/
Marvel Trading Card Game,PSP,2007-02-27,Vicious Cycle,Konami,Card Battle,63.0,22.0,,,/game/marvel-trading-card-game/
Marvel Ultimate Alliance 3: The Black Order,Nintendo Switch,2019-07-19,Team Ninja,Nintendo,Action RPG,73.0,87.0,7.2,388.0,/game/marvel-ultimate-alliance-3-the-black-order/
Marvel Vs. Capcom 2,PlayStation 2,2009-07-29,Backbone Entertainment,Capcom,2D Fighting,82.0,39.0,8.5,32.0,/game/marvel-vs-capcom-2/
Marvel Vs. Capcom 3: Fate Of Two Worlds,PlayStation 3,2011-02-15,Capcom,Capcom,2D Fighting,85.0,77.0,7.1,182.0,/game/marvel-vs-capcom-3-fate-of-two-worlds/
Marvel Vs. Capcom Origins,PlayStation 3,2012-09-26,Iron Galaxy Studios,Capcom,Compilation,78.0,22.0,8.3,11.0,/game/marvel-vs-capcom-origins/
Marvel Vs. Capcom: Infinite,PlayStation 4,2017-09-19,Capcom,Capcom,2D Fighting,72.0,75.0,4.7,265.0,/game/marvel-vs-capcom-infinite/
Marvel'S Avengers,PC,2020-09-01,Crystal Dynamics,Square Enix,Action,67.0,100.0,4.9,2651.0,/game/marvels-avengers/
Marvel'S Blade,PC,,Arkane Studios,Bethesda Softworks,Action Adventure,,,,,https://www.metacritic.com/game/marvels-blade
Marvel'S Guardians Of The Galaxy,PlayStation 4,2021-10-26,Eidos Montreal,Square Enix,Linear Action Adventure,80.0,105.0,8.6,1956.0,/game/marvels-guardians-of-the-galaxy/
Marvel'S Guardians Of The Galaxy - Episode 1: Tangled Up In Blue,PC,2017-04-18,Telltale Games,Telltale Games,Third-Person Adventure,72.0,30.0,5.7,54.0,/game/marvels-guardians-of-the-galaxy-episode-1-tangled/
Marvel'S Guardians Of The Galaxy - Episode 2: Under Pressure,Xbox One,2017-06-06,Telltale Games,Telltale Games,Third-Person Adventure,72.0,12.0,6.0,31.0,/game/marvels-guardians-of-the-galaxy-episode-2-under/
